borrower_age,income_bracket,marital_status,job_type,education_level,ethnicity,gender,country,loan_amount,credit_score,repayment_history,debt_to_income_ratio,borrower_risk
38,High,Single,Unemployed,High School,Other,Female,UK,477018.661,325.9736821,25.51822288,16.82604443,Low
50,Medium,Married,Full-time,PhD,Asian,Female,UK,432920.0388,397.0418738,85.84702526,58.16513327,Low
29,Medium,Single,Unemployed,Bachelor,Hispanic,Female,USA,289030.8204,825.7467448,54.63904672,97.54505241,Medium
39,High,Divorced,Part-time,Bachelor,Black,Male,Australia,337344.8958,338.7229493,56.94765147,76.14588334,Medium
61,Low,Divorced,Self-employed,High School,White,Male,Australia,9313.575151,495.2121605,34.31738572,42.33867491,High
42,High,Widowed,Part-time,PhD,Other,Male,USA,170133.4429,576.7485419,56.1584361,0.450448098,Medium
66,Medium,Single,Unemployed,Bachelor,Hispanic,Female,Australia,398034.4551,571.304455,7.314250948,31.32760111,Medium
44,Low,Married,Self-employed,Bachelor,White,Male,USA,39664.00392,302.1779687,76.46435726,52.67592877,Low
59,Low,Widowed,Unemployed,Bachelor,White,Male,Canada,141874.6033,575.6395023,28.46877615,32.42508739,High
45,Medium,Widowed,Self-employed,PhD,Other,Male,UK,293063.1173,511.0748519,88.76083295,11.1034923,High
33,Medium,Widowed,Self-employed,PhD,Hispanic,Female,Canada,128950.1008,834.6436345,36.78506946,44.27649569,Medium
32,Medium,Married,Self-employed,High School,White,Female,India,467055.0091,387.5374962,14.28241105,25.3252817,Low
64,High,Widowed,???,Master,White,Male,India,66398.25677,494.7848082,69.58815744,90.92323765,Low
68,High,Married,Unemployed,Bachelor,Hispanic,Female,India,398899.7846,530.7148168,16.45781447,10.17545285,Low
61,Low,Widowed,Self-employed,Master,Asian,Male,USA,254466.3973,514.8814454,75.36805155,4.915262872,Low
69,Medium,Married,Self-employed,PhD,White,Male,Australia,375415.0571,666.2069552,96.81122364,0.531416915,Medium
20,Low,Divorced,Part-time,PhD,Black,Male,Canada,156046.9488,418.5320717,77.95528688,32.80696845,Low
54,Low,Divorced,Full-time,PhD,Hispanic,Male,Canada,257730.3116,421.589354,2.244924843,66.03868382,High
68,Low,Divorced,Full-time,Master,White,Female,Canada,428560.8395,701.0660217,59.98857881,73.04137529,High
24,Low,Divorced,Part-time,PhD,Other,Female,Canada,233972.1715,575.1597853,69.5410671,45.32616834,Medium
38,Medium,Divorced,Part-time,High School,Black,Female,India,180500.2111,528.3356218,82.54583258,68.43286505,Low
26,Low,Widowed,Unemployed,PhD,White,Female,Canada,268541.5377,393.0616784,5.600230894,35.99140362,Low
56,Medium,Widowed,Unemployed,Associate,Black,Male,Australia,358964.0138,403.1399726,48.0107828,66.780622,Low
35,Medium,Widowed,Unemployed,Master,Black,Female,India,222338.1094,305.8034002,53.53708726,4.05959853,Low
21,High,Married,Part-time,Associate,Asian,Male,Canada,469499.6106,350.2844479,16.91248626,39.07529846,Medium
42,Medium,Married,Part-time,PhD,Black,Female,USA,148177.9662,606.2612821,32.24498097,79.08496776,Low
31,High,Married,Self-employed,High School,Asian,Female,UK,238256.3395,790.5302215,44.02217263,80.30060305,Medium
67,Medium,Married,Unemployed,Bachelor,Hispanic,Female,UK,378706.902,457.9406208,83.3209688,71.61487789,Low
26,Medium,Divorced,Unemployed,PhD,Asian,Male,UK,344871.4242,480.2609742,92.94075661,20.42386206,Low
43,Medium,Divorced,Unemployed,High School,Other,Male,India,431956.8852,363.5830858,62.84228289,24.72051189,High
19,High,Divorced,Full-time,Master,White,Male,Canada,498407.7812,513.7470201,39.4945186,99.60887273,Medium
37,High,Single,Self-employed,Associate,Hispanic,Male,India,214002.3061,320.4719375,25.40310178,10.33780072,High
45,Low,Widowed,Unemployed,Associate,Hispanic,Female,Australia,56464.28901,804.6803829,98.21351844,18.06626989,Medium
64,High,Married,Unemployed,Associate,Other,Male,USA,16177.52452,670.2112415,98.30199981,13.00262557,Low
24,High,Married,Unemployed,Master,Asian,Male,USA,363711.5762,844.9118452,92.49769482,32.76549637,Low
61,High,Divorced,Full-time,High School,White,Female,UK,437132.822,785.5527395,78.56691499,21.01758352,Medium
25,High,Married,Full-time,Master,Asian,Female,UK,111135.5804,560.1448265,32.57795437,49.76879595,High
64,Low,Married,Part-time,Associate,Black,Male,UK,80065.57056,585.8267671,81.70004835,47.60207069,Medium
52,High,Widowed,Self-employed,PhD,Asian,Female,Canada,32040.34067,404.8168256,40.87930173,90.15056195,Medium
31,Medium,Divorced,Part-time,Bachelor,Hispanic,Male,Australia,411528.7579,554.1216386,32.67730982,3.473994744,Low
34,Medium,Widowed,Self-employed,Master,White,Female,Australia,156379.588,796.6653304,74.48653585,31.98795767,High
53,High,Single,Full-time,Master,Asian,Male,Australia,201446.7495,327.969383,7.965392762,59.6657892,Medium
67,High,Single,Unemployed,High School,White,Male,Australia,251872.3456,774.9562416,4.85627233,60.48017618,High
57,Medium,Single,Part-time,High School,White,Male,UK,419887.1639,487.5212909,44.79536972,48.0126229,High
21,Medium,Divorced,Unemployed,Master,Black,Male,USA,325765.7776,794.7320208,44.56388008,81.56655408,Medium
19,Low,Married,Part-time,Associate,Black,Male,UK,307917.2503,817.4839485,89.56441531,6.272217141,High
23,Medium,Divorced,Full-time,Bachelor,Hispanic,Female,Australia,88660.37788,668.9756879,12.61530963,81.54877656,Low
59,Medium,Divorced,Full-time,High School,Other,Male,UK,257081.756,665.4330826,12.32839275,49.47542404,Low
21,High,Married,Full-time,Associate,White,Male,Australia,357975.1276,549.0148857,14.74526005,13.37606951,Low
46,Medium,Widowed,Part-time,PhD,Other,Male,India,486657.1806,759.5471235,2.973626129,88.57019135,Low
35,Low,Single,Self-employed,High School,Hispanic,Male,USA,101501.7483,828.8870171,7.173173781,64.92287795,High
43,Medium,Widowed,Part-time,Associate,White,Male,India,5762.133181,726.2949902,65.98698668,16.35456868,Low
61,High,Single,Self-employed,Associate,White,Female,Canada,38575.41537,642.0652036,43.15843291,3.36497234,Medium
51,High,Divorced,Part-time,Bachelor,Other,Female,UK,188550.3801,633.7360927,76.36030671,14.11096483,Low
27,Medium,Single,Part-time,Bachelor,Asian,Male,Canada,410451.7792,767.2084459,99.25977186,60.87979602,Medium
53,High,Divorced,Full-time,PhD,Black,Female,UK,4563.898802,597.6620712,65.90346811,17.92962353,Medium
31,Low,Widowed,Unemployed,Associate,Asian,Male,India,228908.5659,742.1229374,5.045557062,22.57630749,Low
48,Low,Divorced,???,Associate,Other,Female,Australia,165286.0771,579.8868903,10.45628648,2.513972576,Low
65,Medium,Widowed,Self-employed,Bachelor,Black,Female,Australia,27188.37334,334.3443512,88.10040848,72.29306722,High
32,Medium,Married,Unemployed,High School,Asian,Male,UK,225667.907,511.1708549,52.74959446,81.03643998,Medium
25,Medium,Married,Part-time,High School,Black,Female,Australia,128119.605,544.4425267,82.48371594,79.68481768,Low
31,High,Married,Part-time,Master,White,Female,India,176590.5323,377.8894847,85.66123362,12.75681514,High
40,Low,Divorced,Full-time,Bachelor,Asian,Male,Australia,353102.0371,356.3729811,92.76745415,90.33011274,Low
57,Low,Married,Full-time,Master,Black,Male,India,261253.941,594.5057223,94.98292055,67.22788295,Low
38,High,Single,Unemployed,Bachelor,Black,Female,Canada,63199.06707,346.8290001,55.48257965,89.75286224,Low
33,Low,Widowed,Self-employed,PhD,Black,Female,India,480745.8557,466.6198423,34.10201723,44.71605045,Medium
62,Medium,Widowed,Unemployed,Associate,Asian,Female,USA,318319.4721,709.5283368,96.18648743,43.69548611,Low
35,Medium,Single,Unemployed,PhD,Hispanic,Male,USA,383168.3444,830.4376988,54.7406406,78.45365187,High
64,Medium,Divorced,Unemployed,Bachelor,Asian,Female,USA,40527.36185,694.8288193,6.425272295,9.329785548,Low
41,Low,Divorced,Unemployed,Associate,Other,Female,UK,24482.13135,845.9440516,64.27765501,52.08740366,Low
43,Medium,Widowed,Part-time,High School,Asian,Female,UK,10704.57713,684.0858842,58.76847504,83.63842356,High
42,High,Married,Self-employed,High School,Black,Male,UK,95208.21986,461.5869589,89.57928729,83.01925631,High
62,High,Divorced,Part-time,Master,White,Male,India,207789.7905,669.6288973,65.31871892,95.61328563,Medium
58,Low,Divorced,Self-employed,Bachelor,Asian,Male,UK,467977.2406,686.1862209,34.90524245,69.82725935,Medium
46,High,Single,Full-time,Bachelor,Asian,Male,Canada,229072.77,504.4498415,96.62257257,20.77706294,Medium
32,High,Single,Unemployed,High School,Black,Female,USA,145837.2976,309.7426178,80.1619486,2.028031489,Medium
62,Low,Married,Part-time,PhD,White,Male,India,281405.6915,686.7598816,63.04176184,47.94157986,High
18,Medium,Divorced,Self-employed,Associate,White,Female,USA,56855.35449,311.9350524,29.29252034,51.37038656,Low
42,Medium,Divorced,Full-time,PhD,Other,Female,UK,305143.4396,647.1534429,37.35402963,24.02625845,Low
24,Medium,Single,Full-time,PhD,Asian,Female,India,284647.5452,389.9890688,66.99699241,12.46974471,Low
26,Low,Divorced,Unemployed,High School,White,Female,Australia,396204.5237,611.0819403,7.198081846,58.62081662,Medium
41,High,Widowed,Self-employed,High School,White,Male,Canada,493357.1182,577.152164,25.66805917,76.4255674,High
18,Medium,Single,Part-time,High School,Hispanic,Male,UK,126185.8624,307.4325033,71.39009334,99.31541036,High
61,Medium,Married,Unemployed,Master,Hispanic,Male,UK,255318.569,499.5761993,48.00185098,75.83026172,High
25,Low,Single,Part-time,PhD,White,Male,Canada,454523.8378,630.6001421,40.23935648,79.36324143,Low
41,Medium,Divorced,Full-time,Bachelor,Other,Male,Canada,392809.7523,766.7336035,15.14576224,61.64608782,Medium
28,Low,Married,Part-time,Associate,White,Female,Australia,244215.7452,788.7531626,44.18490345,98.5922659,High
68,High,Single,Part-time,Master,Black,Male,UK,472740.4532,566.1174835,77.06919708,63.99563851,Medium
34,Low,Widowed,Unemployed,Bachelor,Asian,Male,UK,29561.11006,700.632368,26.40128461,86.02532864,High
25,Low,Widowed,Part-time,PhD,Other,Male,USA,465568.3112,474.0500171,0.539854218,94.57846462,Medium
52,Low,Single,Unemployed,High School,Black,Male,India,26203.1888,488.2025232,66.85049012,92.98585005,High
52,Low,Widowed,Full-time,PhD,Other,Female,India,274105.0673,406.9549356,97.26266044,38.14153438,Medium
50,High,Widowed,Unemployed,Associate,Black,Female,USA,445330.0331,609.0714605,60.68265636,7.866205831,High
22,High,Widowed,Unemployed,Master,Asian,Female,India,132097.7508,473.010283,11.99218589,17.18737025,High
59,Medium,Married,Self-employed,Master,Asian,Female,Canada,236652.001,346.403993,32.07330923,5.92233054,Medium
56,High,Widowed,Part-time,Associate,Hispanic,Female,India,162840.1107,676.7533477,86.76416147,10.53969348,Medium
58,High,Widowed,Full-time,Bachelor,Black,Male,India,476119.8146,689.2642642,23.25680743,18.46512459,Low
45,Medium,Widowed,Unemployed,Bachelor,Hispanic,Female,USA,411999.1518,497.9958303,60.76959035,34.10943166,Medium
24,High,Married,Full-time,Master,Black,Female,Australia,354791.7542,342.1978697,40.26712083,54.35396466,High
26,Low,Single,Self-employed,Master,Hispanic,Female,India,294225.8663,534.4637446,20.78437214,71.16820594,High
25,Low,Divorced,Part-time,High School,Asian,Male,India,410475.3029,543.2845019,81.34068936,21.09273361,Medium
29,Medium,Widowed,Unemployed,Bachelor,Other,Male,Australia,196741.2537,667.7689867,74.28312765,67.25224042,Low
51,Medium,Single,???,Associate,Hispanic,Female,USA,224328.3757,473.4790152,66.1591066,70.42590745,Medium
50,Medium,Widowed,Self-employed,Bachelor,Black,Male,Australia,365270.8588,675.4296039,23.63365903,55.86223369,High
65,Low,Married,Self-employed,High School,Black,Male,USA,179519.6269,779.318698,9.785700272,90.36178698,High
40,High,Single,Full-time,Master,Asian,Female,Canada,32886.57008,430.6173233,57.61593298,11.09948139,Low
41,Low,Married,Unemployed,Master,Black,Male,USA,38092.96983,838.4057559,55.36778335,17.71214576,Medium
54,Medium,Widowed,Full-time,High School,White,Male,Canada,58566.03785,512.5024754,18.83850093,42.86648244,High
52,High,Widowed,Self-employed,Associate,Other,Male,Canada,434970.9803,446.9922768,5.624669432,12.67127352,High
61,High,Married,Part-time,Master,Hispanic,Female,USA,236640.9865,531.8311504,8.070845419,56.62961437,High
57,Low,Divorced,Full-time,PhD,Other,Female,UK,356728.3023,351.9186117,99.27709865,39.84004666,Medium
39,Medium,Married,Full-time,Master,Asian,Female,USA,197061.7585,369.1382486,78.35838947,28.45957945,Medium
44,Low,Widowed,Part-time,PhD,Hispanic,Male,India,130096.7628,527.9387258,92.1987476,16.9989813,Low
52,High,Married,Full-time,High School,Hispanic,Female,India,174248.8916,719.3444871,19.50547222,33.53382383,High
18,Low,Divorced,Part-time,High School,White,Male,UK,397296.9903,795.1717318,96.05685363,60.79593508,High
52,Low,Married,Unemployed,Master,Asian,Male,Canada,312982.8464,665.6498949,14.26543515,57.57852109,Low
54,Medium,Divorced,Part-time,Bachelor,Black,Male,UK,468882.2502,357.8707554,50.90818286,16.36240002,High
64,Medium,Divorced,Unemployed,PhD,White,Female,India,340172.6845,669.6108692,82.96956844,12.49198107,Low
31,High,Married,Part-time,Associate,White,Female,UK,285520.6342,649.4853564,34.98033545,2.667676261,Low
20,Low,Married,Self-employed,Master,Other,Female,USA,305487.8085,743.1701551,42.48285332,1.242559379,High
18,Low,Single,Self-employed,Associate,Other,Female,UK,471243.3483,753.8867667,12.81851103,87.98104357,Medium
22,Low,Widowed,Unemployed,Master,Other,Male,Canada,394312.264,777.5116917,12.292188,4.508885601,Medium
43,High,Divorced,Unemployed,Bachelor,White,Female,USA,12996.57745,527.772333,61.95682248,73.12211099,Medium
31,High,Single,Self-employed,Bachelor,Black,Male,Australia,267535.7084,683.8254174,67.55323686,87.19850962,Medium
56,Medium,Married,Unemployed,Bachelor,Hispanic,Female,India,344480.8674,447.5376974,77.73325141,9.805784856,High
44,Medium,Widowed,Part-time,Bachelor,Other,Female,India,374600.5407,849.634954,55.66820527,43.63014238,Low
26,Medium,Single,Part-time,High School,Black,Female,UK,107357.9175,396.4338328,64.57592923,96.23029832,Low
32,Low,Divorced,Self-employed,High School,Asian,Male,USA,433721.4999,305.5629374,1.35172717,83.41386605,High
32,Low,Single,Full-time,PhD,Other,Male,Australia,477965.7304,381.844793,16.21707271,48.97040319,Medium
43,Medium,Divorced,Part-time,Associate,Hispanic,Male,USA,119120.9376,726.7297592,98.4914766,76.25711128,Low
59,Low,Married,Unemployed,Master,Asian,Male,India,441425.1133,545.7310221,7.599350632,83.33776244,High
30,Medium,Widowed,Full-time,Master,Asian,Male,USA,49392.4025,546.1251363,67.87882223,34.80269632,High
68,High,Widowed,Full-time,High School,Hispanic,Female,Australia,28797.71122,825.2626058,17.6082633,89.21529169,Medium
49,Medium,Widowed,Part-time,Master,Other,Male,UK,65482.67625,805.7991994,71.67185858,47.04733197,High
56,High,Married,Part-time,High School,White,Male,Canada,29812.79865,471.1571058,70.5990403,52.78073636,Low
66,Low,Divorced,Full-time,PhD,Hispanic,Male,USA,422661.1063,414.9819708,23.41990598,99.97076378,Low
69,Medium,Married,Full-time,Associate,Hispanic,Male,Canada,30466.02208,766.6652155,26.96343992,84.33029662,High
49,Low,Widowed,Self-employed,PhD,Hispanic,Female,India,136560.4315,798.3104891,65.47707136,36.17700058,Low
21,High,Married,Unemployed,Bachelor,Asian,Male,UK,52774.41542,597.8783075,39.00860388,1.034559647,High
47,High,Married,Self-employed,Bachelor,Black,Female,UK,148415.5961,646.1830411,19.45479697,62.61740738,Low
54,High,Married,Part-time,Bachelor,White,Female,USA,46189.17433,441.3028566,73.16795988,70.39134261,Medium
40,Low,Divorced,Self-employed,PhD,Other,Female,UK,334333.6221,740.4414784,15.41475243,65.08026901,Low
56,Low,Single,Self-employed,Master,Other,Male,USA,67530.08135,647.6673356,85.56436641,96.78623512,Medium
62,Low,Single,Self-employed,Associate,Black,Female,USA,426071.117,576.9324312,51.46695241,86.29710273,Medium
32,Low,Married,Self-employed,Bachelor,Hispanic,Male,Canada,408778.3343,333.0597058,10.57006039,44.88316932,High
60,High,Single,Unemployed,Bachelor,White,Male,UK,7817.18105,803.7642294,69.40723335,6.285748747,Medium
46,High,Single,Unemployed,Bachelor,Other,Male,USA,447967.4514,638.4982812,51.91630396,47.60587695,Low
53,Medium,Married,Full-time,Associate,Other,Male,Canada,15443.21405,405.9801021,29.80575718,68.924402,Low
30,Medium,Married,Part-time,Bachelor,Hispanic,Male,Australia,120583.2467,633.5123643,42.25393802,60.77098082,Medium
49,Low,Widowed,Self-employed,Associate,Black,Female,Canada,17162.17975,672.6048448,29.83377436,53.81370677,High
24,High,Single,Full-time,Bachelor,White,Female,Canada,168585.9,589.1736852,26.30258357,46.8818958,Medium
68,High,Divorced,Full-time,PhD,Black,Male,USA,257419.3963,694.9559559,16.36084208,29.3761873,Low
39,High,Married,Full-time,PhD,Black,Female,India,398525.7896,619.7996714,36.27671331,27.73467617,Low
45,Medium,Widowed,Unemployed,Associate,White,Male,India,169652.7937,821.2732701,25.09872063,50.02314789,Medium
19,Medium,Divorced,Self-employed,PhD,White,Female,India,353039.5223,329.5333932,68.34344871,16.06031464,Medium
59,High,Single,Self-employed,Associate,Other,Female,Canada,94564.7241,358.4351397,68.38767412,34.06854236,Medium
62,High,Widowed,Part-time,PhD,Other,Female,USA,375548.6299,395.5194003,50.18402426,32.39792747,Low
23,High,Married,Self-employed,PhD,White,Female,UK,118762.3063,679.5940888,77.79445275,58.71328016,Low
45,Medium,Divorced,Self-employed,Associate,Asian,Female,Canada,72628.83322,655.07773,84.1339719,6.668230036,Low
45,High,Married,Full-time,Master,Other,Male,Canada,93519.01634,790.6323731,57.97664574,82.96686803,High
61,High,Single,Part-time,PhD,Asian,Male,USA,91849.50131,703.0825991,61.89351628,56.23783804,Low
61,Low,Divorced,Self-employed,Bachelor,White,Female,Australia,256918.5768,579.5955182,28.28859098,67.08266808,Low
37,Low,Single,Unemployed,Master,Other,Male,Canada,422553.993,845.5074859,89.48692007,70.30939038,High
47,Medium,Single,Self-employed,Associate,Black,Female,Australia,40722.93342,446.3593759,2.420604442,29.14841368,High
28,High,Widowed,Full-time,Master,White,Male,Australia,353771.2029,758.2554129,34.86024694,47.03715674,High
45,High,Married,Unemployed,High School,Hispanic,Female,India,327518.8834,534.7347047,72.18004215,95.62459559,High
42,Low,Divorced,Full-time,High School,Asian,Female,USA,436387.456,656.8043264,8.008950967,76.6705238,High
56,Medium,Single,Self-employed,PhD,White,Female,Australia,122829.6327,699.9976587,18.31695274,96.95568752,High
50,Low,Single,Unemployed,PhD,White,Male,USA,225604.8195,648.564748,58.92857279,74.62543451,Medium
18,Low,Divorced,Part-time,Bachelor,Other,Male,India,462987.8598,377.2790167,55.99936715,17.56001397,Medium
44,Low,Single,Part-time,Master,Other,Female,USA,330336.7316,543.6230559,73.89282961,6.453588384,Medium
69,Low,Widowed,???,High School,Other,Female,Canada,194995.438,608.7911079,81.26126391,57.76614367,Medium
30,High,Widowed,Unemployed,PhD,Hispanic,Male,Australia,66574.77904,766.9740675,12.85795785,35.78132797,Low
58,High,Widowed,Full-time,Master,Other,Male,USA,131980.0189,544.0051618,1.838098978,27.54579101,High
20,Low,Widowed,Unemployed,PhD,White,Male,UK,291026.5233,805.3110176,68.96385197,80.72109964,Low
56,Medium,Single,Full-time,PhD,Other,Male,USA,359365.8058,542.2058227,30.13917958,36.69932671,High
23,Medium,Divorced,Self-employed,High School,Black,Male,Australia,63086.52154,601.8289226,62.59839139,31.70009697,High
25,Medium,Divorced,Full-time,High School,Other,Female,India,300199.0328,737.9571256,15.05445881,84.99875932,Low
44,Medium,Divorced,Unemployed,PhD,Hispanic,Male,India,275625.2881,620.6872264,46.90400467,84.62873365,Medium
26,Low,Divorced,Unemployed,Associate,Black,Female,Australia,257463.7679,828.1199398,50.44247461,35.63666378,Low
54,High,Married,Self-employed,PhD,White,Female,Canada,345371.4357,663.1847068,58.50778164,83.2498701,Low
50,Medium,Divorced,Unemployed,PhD,White,Male,Canada,418887.3479,587.4901997,51.31700163,85.07784903,High
68,Low,Married,Unemployed,Bachelor,Asian,Male,India,162171.8519,312.9755823,49.56907702,42.3930535,High
59,Medium,Married,Part-time,Bachelor,Black,Female,India,444617.0829,527.5530937,33.2734154,6.647313021,High
61,Medium,Widowed,Part-time,Bachelor,Asian,Male,Australia,81156.1727,464.5866306,7.118023632,0.158464447,Medium
41,Low,Married,Self-employed,Associate,Black,Female,Canada,87338.91101,711.4581173,8.95201968,52.32924629,Low
32,High,Single,Full-time,Associate,Black,Male,India,134119.2597,414.5527213,43.37782744,34.40754934,Low
49,High,Married,Part-time,PhD,Hispanic,Male,Canada,60645.9039,412.871048,35.57931278,99.71318942,Medium
49,Low,Widowed,Full-time,Bachelor,Asian,Male,India,115929.2931,404.2354738,51.61348047,77.24109996,Low
41,High,Married,Unemployed,Associate,Hispanic,Female,USA,54099.46969,369.0885872,30.48381693,76.12754564,Low
58,Low,Single,Part-time,High School,Black,Male,UK,411054.4561,471.053852,68.79100915,95.52427683,High
69,Low,Single,Self-employed,PhD,White,Female,USA,70345.52695,787.2571629,86.3954822,88.77243979,Medium
66,Low,Single,Self-employed,Master,Black,Male,India,373901.4812,726.2106598,29.88631888,31.81874795,High
66,High,Widowed,Self-employed,PhD,Hispanic,Female,UK,24909.02009,704.388169,19.29840079,16.59872216,Medium
69,Low,Widowed,Part-time,Master,Asian,Male,UK,474311.6434,738.5352431,11.61805743,74.58922651,High
29,Medium,Divorced,Full-time,Bachelor,Asian,Female,India,355868.8837,448.1798391,61.62540406,37.82738937,Low
56,High,Widowed,Unemployed,Master,Hispanic,Female,India,4391.477744,788.0929299,44.38559911,47.31726516,Medium
19,High,Single,Full-time,Bachelor,Asian,Female,Canada,382164.3936,375.5168563,18.80157172,63.03977313,Medium
20,High,Single,Full-time,High School,Other,Female,India,257526.8785,484.9901497,65.31367333,90.78726769,High
66,High,Widowed,Unemployed,Master,White,Female,Australia,389903.22,622.7114654,14.8483183,41.90877537,Medium
54,Medium,Married,Unemployed,PhD,White,Female,India,261725.9076,356.5977986,55.43007058,78.33168902,Low
66,High,Widowed,Part-time,Bachelor,White,Male,Australia,320871.404,701.5716033,52.71483816,26.83397913,Low
34,High,Widowed,Part-time,PhD,Asian,Female,India,393379.496,512.9853265,73.42278012,69.79717909,Low
66,Low,Single,Part-time,Associate,Asian,Female,Canada,203148.9192,731.4231161,5.510963994,0.157942108,High
19,High,Divorced,Part-time,Bachelor,Black,Female,Australia,2351.36676,571.0929571,88.78729319,87.15072135,Medium
19,Medium,Single,Part-time,Master,Black,Male,USA,425123.3015,399.4809884,70.29917261,3.037957995,High
45,Medium,Divorced,Unemployed,Bachelor,White,Male,Australia,191064.2909,704.1189962,21.61259983,71.27537548,Low
40,Medium,Single,Full-time,PhD,Other,Male,Canada,248525.3203,438.6791757,18.34053486,4.625818926,Medium
54,Medium,Widowed,Part-time,High School,Black,Female,Australia,4875.554435,569.9456657,43.16602141,26.62456994,Low
49,High,Single,Part-time,Bachelor,Black,Male,India,246553.9132,341.543298,81.75653295,49.72024036,Medium
50,High,Single,Full-time,Master,Asian,Male,India,493257.2134,639.8266599,84.29499931,41.99386853,Medium
18,Medium,Single,Part-time,Associate,Other,Female,Canada,139855.5627,666.2217714,52.04560921,19.18361146,High
36,Medium,Widowed,Full-time,High School,White,Female,UK,198313.7169,508.2708155,86.08108627,33.38149117,Medium
19,High,Widowed,Full-time,Associate,Black,Male,India,343907.8082,824.9325292,0.544370919,72.77063701,Low
61,Medium,Widowed,Unemployed,Bachelor,Other,Female,USA,407582.0401,780.7929068,3.517463153,66.92570926,Medium
43,Low,Widowed,Self-employed,PhD,Other,Female,Canada,209278.4204,689.3675037,91.18215936,7.181458376,Low
49,Medium,Divorced,Unemployed,PhD,White,Female,Australia,155524.7663,692.508641,77.53319299,74.73158256,High
23,Medium,Divorced,Self-employed,Master,Other,Female,Australia,468975.0742,438.8209432,45.07060583,5.30458812,Low
49,Low,Married,Self-employed,PhD,Other,Male,USA,338895.3384,661.2483771,75.36101315,54.29263891,Medium
21,Low,Widowed,Self-employed,High School,Other,Female,India,60391.63094,409.0134459,95.56394617,26.0062748,Low
28,High,Divorced,Part-time,PhD,Black,Male,Canada,35395.01119,379.2017732,77.20895239,58.76901276,Low
34,High,Single,Unemployed,Master,White,Male,USA,242291.3755,849.7073418,84.23713338,26.13283959,Medium
55,Low,Widowed,Self-employed,Bachelor,Other,Male,India,110824.943,642.3067623,76.06065814,98.49579696,Low
41,Low,Married,Full-time,Bachelor,Other,Male,Canada,127738.3919,537.04333,16.82110924,30.97281837,Medium
22,High,Married,Part-time,PhD,Black,Female,Australia,438968.3972,458.4904876,83.35741096,24.19606357,High
69,Medium,Married,Unemployed,Associate,White,Female,Canada,45693.44613,632.156244,19.510882,27.84652909,Low
51,Low,Single,Self-employed,Bachelor,Asian,Female,UK,357966.6935,327.2764295,89.2611328,89.64728573,High
23,High,Divorced,Full-time,PhD,Black,Male,Canada,136299.9844,352.0745448,45.86498981,63.62188287,Low
